id,text,type,category,otherCategories,relatedPhrases,beforeContext,afterContext,flippable
used-quality,"[ ""used some quality of self"" ]",action,self,,,,,
late,"[ ""was late to something"", ""#action and was late"" ]",action,self,negative,,,,
was-adj,"[ ""was #adj"", ""did something #adj"", ""felt #adj"" ]",action,self,,,,,
was-adj-to,"[ ""was #adj to #someone"" ]",action,social,,,,,
watched,"[ ""watched TV"", ""watched a show"", ""watched a movie"", ""watched something"" ]",action,self,,,,,
went-home,"[ ""went home"" ]",action,movement,,,,,
vacationed,"[ ""went on a holiday"", ""went on a day trip"", ""went on vacation"", ""went on a vacation to #place"" ] ",action,movement,,,,,
adventured,"[ ""went on a journey"", ""had an adventure"" ] ",action,movement,,,,,
dined-out,"[ ""went out for food"", ""went out to dinner"", ""went out for drinks"" ] ",action,movement,,,,,
shopped,"[ ""went shopping"" ]",action,movement,,,,,
work-meeting,"[ ""went to a meeting"" ]",action,work,,,,,
work,"[ ""went to work"" ]",action,work,,,,,
went-to-class,"[ ""went to a class"" ] ",action,movement,work,,,,
went-to-party,"[ ""went to a party"" ]",action,social,movement,,,,
went-to-sport,"[ ""went to a sporting event"" ]",action,movement,,,,,
went-to-doctor,"[ ""went to the doctor"", ""went to the hospital"" ]",action,movement,,,,,
avoided-responsibility,"[ ""avoided doing something"", ""avoided a responsibility"" ]",action,self,work,,,,
chatted-with-stranger,"[ ""chatted with a stranger"" ]",action,social,,,,,
chatted-with-someone,"[ ""chatted with someone"" ] ",action,social,,,,,
worked-together,"[ ""collaborated with someone"", ""worked together with someone"" ]",action,social,work,,,,
did-nothing,"[ ""did nothing"", ""couldn't do anything"" ]",action,self,negative,,,,
daydreamed,"[ ""daydreamed"" ]",action,self,,,,,
meditated,"[ ""meditated"" ]",action,self,,,,,
chores,"[ ""did chores"", ""took care of personal business"", ""did adult things"" ]",action,self,movement,,,,
hobby,"[ ""did hobby"", ""hobbied"" ]",action,self,,,,,
helped-someone,"[ ""did something for someone"", ""helped someone"", ""did a favor for someone"" ]",action,social,,,,,
got-help,"[ ""asked for help"", ""got help on something from someone"" ]",action,social,work,,,,
exercised,"[ ""exercised"", ""worked out"" ]",action,self,movement,,,,
feeling-excited,"[ ""feeling excited for something coming up"" ] ",action,self,,,,,
sick,"[ ""felt sick"", ""felt bad"" ]",action,self,negative,,,,
finished-work,"[ ""finished some work"" ]",action,self,,,,,
interneted,"[ ""interneted"", ""puttered around on the internet"", ""messed around on the internet"", ""played on the computer"" ] ",action,self,,,,,
day-description,"[ ""had a #day-adj day"" ]",action,self,,,,,
good-idea,"[ ""had a good idea"" ]",action,self,mental,,,,
nice-convo,"[ ""had a nice convo w/ someone"" ]",action,social,,,,,
heard-from,"[ ""heard from someone"" ]",action,social,,,,,
resolved-conflict,"[ ""helped resolve a fight"" ]",action,social,,,,,
hung-out,"[ ""hung out"" ]",action,self,social,,,,
hung-out-with,"[ ""hung out with people"", ""spent quality time with someone"" ]",action,social,,,,,
got-hurt,"[ ""got hurt"", ""hurt myself"" ]",action,self,,,,,
made-plans,"[ ""made plans"" ]",action,self,,,,,
made-something,"[ ""made something"", ""made a thing"" ]",action,self,,,,,
messed-up,"[ ""messed up"" ]",action,self,negative,,,,
missing-someone,"[ ""missed someone"", ""wished someone was here""]",action,self,,,,,
moved,"[ ""moved"" ]",action,movement,,,,,
went-somewhere,"[ ""went somewhere"" ]",action,movement,,,,,
played-game,"[ ""played games"", ""played a game"" ]",action,social,,,,,
ran-into,"[ ""ran into someone"" ]",action,social,,,,,
turning-point,"[ ""reached a turning point in something"" ]",action,self,,,,,
reached-out-to,"[ ""reached out to someone"" ]",action,social,,,,,
read,"[ ""read a book"", ""read something"", ""read something #adj"" ] ",action,self,,"[ ""finished book"" ]",,,
finished-book,"[ ""finished a book"", ""finished a book I was reading"" ]",action,self,,"[ ""read"" ]",,,
realized-something,"[ ""realized something"" ]",action,self,,,,,
